legislator_name,bioguide_id,fec_id
"Robert C. ""Bobby"" Scott",S000185,H6VA01117
Tim Scott,S001184,H0SC01279
Tim Scott,S001184,S4SC00240
F. James Sensenbrenner Jr.,S000244,H8WI09050
José E. Serrano,S000248,H0NY18065
Pete Sessions,S000250,H2TX03126
Terri A. Sewell,S001185,H0AL07086
Richard C. Shelby,S000320,S6AL00013
Brad Sherman,S000344,H6CA24113
John Shimkus,S000364,H2IL20042
Bill Shuster,S001154,H2PA09035
Michael K. Simpson,S001148,H8ID02064
Albio Sires,S001165,H6NJ13191
Louise McIntosh Slaughter,S000480,H6NY03031
Adam Smith,S000510,H6WA09025
Adrian Smith,S001172,H6NE03115
Christopher H. Smith,S000522,H8NJ04014
Lamar Smith,S000583,H6TX21012
Jackie Speier,S001175,H8CA12171
Steve Stivers,S001187,H8OH15076
Marlin A. Stutzman,S001188,H0IN03198
Marlin A. Stutzman,S001188,S0IN00095
Linda T. Sánchez,S001156,H2CA39078
Bennie G. Thompson,T000193,H4MS02068
Mike Thompson,T000460,H8CA01109
Glenn Thompson,T000467,H8PA05071
Mac Thornberry,T000238,H4TX13014
John Thune,T000250,S2SD00068
John Thune,T000250,H6SD00085
Patrick J. Tiberi,T000462,H0OH12062
Scott R. Tipton,T000470,H6CO03139
Paul Tonko,T000469,H8NY21203
Patrick J. Toomey,T000461,S4PA00121
Patrick J. Toomey,T000461,H8PA15096
Niki Tsongas,T000465,H8MA05143
Michael R. Turner,T000463,H2OH03067
Michael R. Turner,T000463,H2OH03091
Fred Upton,U000031,H6MI04113
Chris Van Hollen,V000128,H2MD08126
Nydia M. Velázquez,V000081,H2NY00010
Peter J. Visclosky,V000108,H4IN01012
David Vitter,V000127,S4LA00057
David Vitter,V000127,H0LA01079
Tim Walberg,W000798,H4MI07103
Greg Walden,W000791,H6OR02116
Timothy J. Walz,W000799,H6MN01174
Debbie Wasserman Schultz,W000797,H4FL20023
Maxine Waters,W000187,H4CA23011
Daniel Webster,W000806,H0FL08208
Daniel Webster,W000806,S4FL00256
Peter Welch,W000800,H6VT00160
Peter Welch,W000800,H8VT00034
Lynn A. Westmoreland,W000796,H4GA08067
Ed Whitfield,W000413,H4KY01040
Joe Wilson,W000795,H2SC02059
Frederica S. Wilson,W000808,H0FL17068
Robert J. Wittman,W000804,H8VA01147
Steve Womack,W000809,H0AR03055
Rob Woodall,W000810,H0GA07133
Ron Wyden,W000779,S6OR00110
Ron Wyden,W000779,H0OR03026
John A. Yarmuth,Y000062,H6KY03124
Kevin Yoder,Y000063,H0KS03137
Don Young,Y000033,H6AK00045
Todd C. Young,Y000064,H0IN09070
Dean Heller,H001041,H6NV02164
Dean Heller,H001041,S2NV00183
Janice Hahn,H001063,H8CA36097
Mark E. Amodei,A000369,H2NV02395
Mark E. Amodei,A000369,H1NV02017
Mark E. Amodei,A000369,S0NV00237
Suzanne Bonamici,B001278,H2OR01133
Suzan K. DelBene,D000617,H0WA08046
Thomas Massie,M001184,H2KY04121
Donald M. Payne Jr.,P000604,H2NJ10154
Brian Schatz,S001194,S4HI00136
Brian Schatz,S001194,H6HI02244
Matt Salmon,S000018,H4AZ01038
Matt Salmon,S000018,H2AZ06130
Bill Foster,F000454,H8IL14067
Bill Foster,F000454,H2IL11124
Alan Grayson,G000556,H6FL08213
Ann Kirkpatrick,K000368,H8AZ01104
Dina Titus,T000468,H8NV03036
Tom Cotton,C001095,H2AR04083
Kyrsten Sinema,S001191,H2AZ09019
Doug LaMalfa,L000578,H2CA02142
Doug LaMalfa,L000578,H2CA01144
Jared Huffman,H001068,H2CA06259
Ami Bera,B001287,H0CA03078
Paul Cook,C001094,H2CA08164
Eric Swalwell,S001193,H2CA15094
David G. Valadao,V000129,H2CA20094
Julia Brownley,B001285,H2CA00120
Tony Cárdenas,C001097,H2CA28113
Raul Ruiz,R000599,H2CA36439
Mark Takano,T000472,H2CA43245
Alan S. Lowenthal,L000579,H2CA00104
Juan Vargas,V000130,H2CA50026
Scott H. Peters,P000608,H2CA52089
Elizabeth H. Esty,E000293,H2CT05131
Ted S. Yoho,Y000065,H2FL06109
Ron DeSantis,D000621,H2FL00292
Patrick Murphy,M001191,H2FL22072
Lois Frankel,F000462,H2FL14053
Lois Frankel,F000462,H2FL22080
Doug Collins,C001093,H2GA09150
Tulsi Gabbard,G000571,H2HI02508
Tammy Duckworth,D000622,H6IL06141
Rodney Davis,D000619,H2IL13120
Cheri Bustos,B001286,H2IL17071
Jackie Walorski,W000813,H0IN02190
Susan W. Brooks,B001284,H2IN05082
Luke Messer,M001189,H0IN02125
Luke Messer,M001189,H0IN05094
Andy Barr,B001282,H0KY06104
Elizabeth Warren,W000817,S2MA00170
Joseph P. Kennedy III,K000379,H2MA04073
John K. Delaney,D000620,H2MD06195
"Angus S. King, Jr.",K000383,S2ME00109
Daniel T. Kildee,K000380,H2MI05119
Richard M. Nolan,N000127,H2MN08111
Ann Wagner,W000812,H2MO02102
Steve Daines,D000618,H2MT01060
Steve Daines,D000618,S2MT00096
Richard Hudson,H001067,H2NC08185
Robert Pittenger,P000606,H2NC09134
Mark Meadows,M001187,H2NC11080
George Holding,H001065,H2NC13110
Heidi Heitkamp,H001069,S2ND00099
Kevin Cramer,C001096,H0ND01026
Kevin Cramer,C001096,H6ND00074
Deb Fischer,F000463,S2NE00094
Ann M. Kuster,K000382,H0NH02181
Michelle Lujan Grisham,L000580,H8NM01257
Grace Meng,M001188,H2NY06116
Hakeem S. Jeffries,J000294,H2NY10092
Sean Patrick Maloney,M001185,H2NY22139
Chris Collins,C001092,H8NY29032
Brad R. Wenstrup,W000815,H2OH02085
Joyce Beatty,B001281,H2OH03125
David P. Joyce,J000295,H2OH14064
Jim Bridenstine,B001283,H2OK01143
Markwayne Mullin,M001190,H2OK02083
Scott Perry,P000605,H2PA04135
Keith J. Rothfus,R000598,H0PA04220
Matt Cartwright,C001090,H2PA17079
Tom Rice,R000597,H2SC07066
Ted Cruz,C001098,S2TX00312
Randy K. Weber Sr.,W000814,H2TX14149
Beto O'Rourke,O000170,H2TX16185
Joaquin Castro,C001091,H2TX35011
Roger Williams,W000816,H2TX33040
Roger Williams,W000816,S2TX00270
Marc A. Veasey,V000131,H2TX33073
Filemon Vela,V000132,H2TX27190
Chris Stewart,S001192,H2UT02324
Tim Kaine,K000384,S2VA00142
Derek Kilmer,K000381,H2WA06129
Denny Heck,H001064,H0WA03161
Mark Pocan,P000607,H2WI02124
Robin L. Kelly,K000385,H2IL02172
Mark Sanford,S000051,H4SC01073
Jason Smith,S001195,H4MO08162
Cory A. Booker,B001288,S4NJ00185
Katherine M. Clark,C001101,H4MA05084
Bradley Byrne,B001289,H4AL01123
David W. Jolly,J000296,H4FL13101
Curt Clawson,C001102,H4FL19074
Dave Brat,B001290,H4VA07143
Donald Norcross,N000188,H4NJ01084
Alma S. Adams,A000370,H4NC12100
Robert J. Dold,D000613,H0IL10302
Frank C. Guinta,G000570,H0NH01217
Gary J. Palmer,P000609,H4AL06098
J. French Hill,H001072,H4AR02141
Bruce Westerman,W000821,H4AR04048
Martha McSally,M001197,H2AZ08102
Ruben Gallego,G000574,H4AZ07043
Mark DeSaulnier,D000623,H0CA10073
Stephen Knight,K000387,H4CA25123
Pete Aguilar,A000371,H2CA31125
Ted Lieu,L000582,H4CA33119
Norma J. Torres,T000474,H4CA35031
Mimi Walters,W000820,H4CA45097
Ken Buck,B001297,S0CO00237
Ken Buck,B001297,H4CO04090
Gwen Graham,G000575,H4FL02062
Carlos Curbelo,C001107,H4FL26038
"Earl L. ""Buddy"" Carter",C001103,H4GA01039
Jody B. Hice,H001071,H0GA07125
Barry Loudermilk,L000583,H4GA11061
Rick W. Allen,A000372,H2GA12121
Mark Takai,T000473,H4HI01134
Rod Blum,B001294,H2IA01055
David Young,Y000066,S4IA00103
David Young,Y000066,H4IA03115
Mike Bost,B001295,H4IL12060
Ralph Lee Abraham,A000374,H4LA05221
Garret Graves,G000577,H4LA06153
Seth Moulton,M001196,H4MA06090
Bruce Poliquin,P000611,S2ME00158
Bruce Poliquin,P000611,H4ME02234
John R. Moolenaar,M001194,H4MI04126
Mike Bishop,B001293,H4MI08135
David A. Trott,T000475,H4MI11097
Debbie Dingell,D000624,H4MI12079
Brenda L. Lawrence,L000581,H2MI14111
Tom Emmer,E000294,H4MN06087
Ryan K. Zinke,Z000018,H4MT01041
David Rouzer,R000603,H2NC07096
Brad Ashford,A000373,H4NE02054
Thomas MacArthur,M001193,H4NJ03130
Bonnie Watson Coleman,W000822,H4NJ12149
Cresent Hardy,H001070,H4NV04017
Lee M. Zeldin,Z000017,H8NY01148
Kathleen M. Rice,R000602,H4NY04075
Elise M. Stefanik,S001196,H4NY21079
John Katko,K000386,H4NY24073
Steve Russell,R000604,H4OK05132
Ryan A. Costello,C001106,H0PA06076
Brendan F. Boyle,B001296,H4PA13199
John Ratcliffe,R000601,H4TX04153
Will Hurd,H001073,H0TX23086
Brian Babin,B001291,H6TX02079
Mia B. Love,L000584,H2UT04023
Donald S. Beyer Jr.,B001292,H4VA08224
Barbara Comstock,C001105,H4VA10089
Stacey E. Plaskett,P000610,H2VI00082
Dan Newhouse,N000189,H4WA04104
Glenn Grothman,G000576,H4WI06048
Alexander X. Mooney,M001195,H4WV02080
Evan H. Jenkins,J000297,H4WV03070
Aumua Amata Coleman Radewagen,R000600,H4AS00036
Daniel Sullivan,S001198,S4AK00214
David Perdue,P000612,S4GA11285
Joni Ernst,E000295,S4IA00129
Thom Tillis,T000476,S4NC00162
Mike Rounds,R000605,S4SD00049
Mark Walker,W000819,H4NC06052
Ben Sasse,S001197,S4NE00090
Daniel M. Donovan Jr.,D000625,H6NY11174
Trent Kelly,K000388,H6MS01131
